id,recipe,category,prep_time_in_minutes,prep_time_note,cook_time_in_minutes,cook_time_note,difficulty,serving,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,ingredient_1,ingredient_2,ingredient_3,ingredient_4,ingredient_5,ingredient_6,ingredient_7,ingredient_8,ingredient_9,ingredient_10,directions_step_1,directions_step_2,directions_step_3,directions_step_4,directions_step_5,directions_step_6,directions_step_7,directions_step_8,directions_step_9,directions_step_10,image,image_creative_commons,calories,fat_in_grams,carbohydrates_in_grams,protein_in_grams
366,Spinach And Tomato Zoodles,Vegan and Vegetarian Recipes,10.0,,10.0,,Easy,4.0,3.0,1.0,1.5,1.0,0.5,2.0,3.0,0.5,,,tablespoons olive oil,tablespoon butter,tablespoons minced garlic,cup packed fresh spinach,cup halved cherry tomatoes,tablespoons chopped fresh basil 1/2 cup sliced black olives,"zucchinis, spiralized",cup shredded Asiago cheese,"Sea salt and freshly ground black pepper, to taste",,"In a nonstick skillet, heat the olive oil and melt the butter over medium-high heat.  Add and saute the garlic for 2 minutes or until fragrant.","Add and saute the spinach, tomatoes, basil, and olives for 4 minutes or until the  spinach wilts, then add the spiralized zucchini and toss with a fork to coat well. Scatter  with Asiago cheese and cook for 2 minutes or until the zucchini is soft and the c",Sprinkle with salt and ground black pepper. Remove them from the heat.,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Spinach_And_Tomato_Zoodles-Spinach_And_Tomato_Zoodles.jpg,True,200.0,18.0,4.0,6.0
367,Generous Fiery Tomato Salad,Vegan and Vegetarian Recipes,10.0,,25.0,,Easy,4.0,0.5,1.0,3.0,,1.0,,,,,,"cup scallions, chopped",pound cherry tomatoes,teaspoons olive oil,"Sea salt and freshly ground black pepper, to taste",tablespoon red wine vinegar,,,,,,Season tomatoes with spices and oil,Heat your oven to 450-degree Fahrenheit,Take a baking sheet and spread the tomatoes,Bake for 15 minutes,Stir and turn the tomatoes,"Then again, bake for 10 minutes",Take a bowl and mix the roasted tomatoes with all the remaining ingredients,Serve and enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Generous_Fiery_Tomato_Salad-Generous_Fiery_Tomato_Salad.jpg,True,115.0,10.4,5.4,12.0
368,Easy Portobello Mushrooms,Vegan and Vegetarian Recipes,10.0,,10.0,,Easy,4.0,12.0,2.0,4.0,4.25,,,,,,,cherry tomatoes,ounces scallions,portobello mushrooms,ounces butter,Salt and pepper to taste,,,,,,Take a large skillet and melt butter over medium heat,Add mushrooms and Sauté for 3 minutes,Stir in cherry tomatoes and scallions,Sauté for 5 minutes,Season accordingly,Sauté until veggies are tender,Enjoy!,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Easy_Portobello_Mushrooms-Easy_Portobello_Mushrooms.jpg,True,154.0,10.0,2.0,7.0
369,Simple Avocado Caprese Salad,Vegan and Vegetarian Recipes,15.0,,29.0,,Easy,6.0,2.0,1.0,8.0,2.0,2.0,2.0,1.0,,,,"avocados, cubed","cup cherry tomatoes, halved","ounces mozzarella balls, halved",tablespoons finely chopped fresh basil,tablespoons olive oil,tablespoons balsamic vinegar,tablespoon salt,Fresh ground black pepper,,,"Take a bowl and add the listed ingredients, toss them well until thoroughly mixed",Season with pepper according to your taste,Serve and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Simple_Avocado_Caprese_Salad-Simple_Avocado_Caprese_Salad.jpg,True,358.0,30.0,9.0,14.0
370,Lovely Turtle Salad,Vegan and Vegetarian Recipes,10.0,,,,Easy,2.0,12.0,0.33,0.33,3.0,1.5,0.33,,,,,"cups of rommain lettuce, chopped",cup of extra virgin olive oil,cup of fresh grated parmesan cheese,tablespoon of freshly squeezed lemon juice,tablespoon of mayonnaise (Keto-Friendly),teaspoon of garlic powder,Freshly ground black pepper,,,,Take a pan and place it over medium low heat,Add all of the ingredients and stir them until fully combined,"Cook for about 5-10 minutes, making sure that the lid is on",Remove the lid and keep cooking until any excess liquid goes away,"Once the rice is soft and creamy, enjoy!",,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Lovely_Turtle_Salad-Lovely_Turtle_Salad.jpg,True,93.0,7.0,4.0,3.0
371,Grilled Veggie Salad With Feta,Vegan and Vegetarian Recipes,10.0,,10.0,,Easy,4.0,3.0,0.5,0.5,2.0,1.0,,,,,,"grilling vegetables of your choice (e.g., eggplant, zucchini, and onions)",tsp oregano,cup of crumbled feta,tbsp of olive oil,tbsp of balsamic vinegar,,,,,,"In a grilling pan or in the broiler, cut the veggies into slices, season with oregano and  salt/pepper, and cook until done for around 15 minutes.",Combine the olive oil and balsamic vinegar in a small cup or bowl to make a  vinaigrette.,Drizzle the vinaigrette over the veggies and top with the crumbled feta pieces and  serve,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Grilled_Veggie_Salad_With_Feta-Grilled_Veggie_Salad_With_Feta.jpg,True,191.0,14.0,10.0,9.0
372,Hearty Vegan Zoodles,Vegan and Vegetarian Recipes,10.0,,10.0,,Easy,2.0,4.0,0.5,0.5,3.0,0.25,,,,,,small zucchinis spiralized into noodles,cup of diced onion,cup of red diced pepper,tbsp of vegetable stock,cup nutritional yeast,,,,,,"n a small pot over medium heat, combine the zoodles with the diced pepper and  onions and vegetable stock until they have softened and the liquid has evaporated.",Toss in the nutritional yeast and stir well.,Serve in 1-2 bowls,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Hearty_Vegan_Zoodles-Hearty_Vegan_Zoodles.jpg,True,188.0,2.0,23.0,19.0
373,Grilled Eggplant Roll,Vegan and Vegetarian Recipes,10.0,,,,Easy,4.0,1.0,4.0,1.0,,,,,,,,"eggplant aubergine, cut lengthwise into 7-8 thin slices with a sharp knife.",oz. of mozzarella,"large tomato, sliced",A bit of olive oil,Salt to taste,,,,,,Season the eggplant slices with salt and drizzle with olive oil.,"In a grilling pan, grill the slices for 3 minutes on each side.","In a dish or board, arrange one tomato slice over each eggplant slice and top with  mozzarella. Roll from left to right and secure with a toothpick.",Bake in the oven for 10 minutes at 375F/180 C or until cheese is melted.,Serve.,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Grilled_Eggplant_Roll-Grilled_Eggplant_Roll.jpg,True,59.0,3.0,4.0,3.0
374,Avocado And Tomato Burritos,Vegan and Vegetarian Recipes,10.0,,,,Easy,4.0,2.0,6.0,2.0,1.5,2.0,,,,,,cups cauli rice,low carb tortillas,cups sour cream sauce,cups tomato herb salsa,"avocados, peeled, pitted, sliced",,,,,,"Pour the cauli rice into a bowl, sprinkle with a bit of water, and soften in the  microwave for 2 minutes.","On the tortillas, spread the sour cream all over and distribute the salsa on top. Top  with cauli rice and scatter the avocado evenly on top.",Fold and tuck the burritos and cut them into two,Serve and enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Avocado_And_Tomato_Burritos-Avocado_And_Tomato_Burritos.jpg,True,303.0,25.0,6.0,8.0
375,Dark Chocolate Fudge,Vegan and Vegetarian Recipes,10.0,,,,Easy,4.0,1.0,4.0,1.0,0.5,0.33,,,,,,"cup dark chocolate, melted",large eggs,cup swerve sugar,cup melted butter,cup coconut flour,,,,,,Preheat oven to 350 F and line a rectangular baking tray with parchment paper.,"In a bowl, cream the eggs with swerving sugar until smooth. Add in melted chocolate,  butter, and whisk until evenly combined.",Carefully fold in the coconut flour to incorporate and pour the mixture into the  baking tray.,Bake for 20 minutes or until a toothpick inserted comes out clean. Remove from the  oven and allow cooling in the tray.,Cut into squares and serve.,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Dark_Chocolate_Fudge-Dark_Chocolate_Fudge.jpg,True,491.0,45.0,2.8,13.0
376,Moroccan Roasted Green Beans,Vegan and Vegetarian Recipes,10.0,,,,Easy,4.0,5.0,0.5,1.5,,,,,,,,oz green beans 1/2 tsp salt,tbsp Moroccan spice mix,tbsp avocado oil,,,,,,,,"Turn on the oven, then set it to 400 degrees F and let it preheat.","Take a medium bowl, place green beans in it, add oil, salt, spice mix and toss until well coated.  Spread green beans on a sheet pan and then bake for 15 minutes until roasted,  stirring halfway. Serve.",,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Moroccan_Roasted_Green_Beans-Moroccan_Roasted_Green_Beans.jpg,True,103.0,0.8,2.0,2.3
377,Balsamic Grilled Zucchini,Vegan and Vegetarian Recipes,10.0,,,,Easy,4.0,1.0,1.0,2.0,,0.25,,,,,,"zucchini, sliced lengthwise1/3 tsp garlic powder",tsp Italian seasoning,tbsp balsamic vinegar2 tsp avocado oil,Seasoning:,tsp salt,,,,,,"Take a griddle pan, place it over medium-low heat, brush it with oil and let it preheat","Meanwhile, brush zucchini slices with oil and then sprinkle with garlic powder,  Italian seasoning, and salt.","Place zucchini slices on the griddle pan and cook for 2 to 3 minutes per side, then  brush zucchini with vinegar and cook for another minute.",Serve and enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Balsamic_Grilled_Zucchini-Balsamic_Grilled_Zucchini.jpg,True,76.0,5.0,5.0,6.0
378,Stir Fried Zucchini And Green Beans,Vegan and Vegetarian Recipes,10.0,,10.0,,Easy,4.0,3.0,0.5,0.5,,2.0,2.0,,,,,tablespoons olive oil,"small zucchini, thinly sliced","cup green beans, cut into small pieces","Sea salt, to taste","tablespoons scallions, chopped",tablespoons lemon juice,,,,,Heat the olive oil in a nonstick skillet over medium heat.,"Add and stir fry the zucchini, green beans, and salt for 9 minutes or until soft and  crisp.",Remove them from the skillet to a plate. Garnish with chopped scallion and serve  drizzled with lemon juice.,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Stir_Fried_Zucchini_And_Green_Beans-Stir_Fried_Zucchini_And_Green_Beans.jpg,True,137.0,13.0,3.0,1.2
379,Lime Avocado Ice Cream,Vegan and Vegetarian Recipes,10.0,,,,Easy,4.0,2.0,,1.67,3.25,0.25,,,,,,"large avocados, pitted",Juice and zest of 3 limes,cup erythritol,cups coconut cream,tsp vanilla extract,,,,,,"In a blender, combine avocado pulp, lime juice and zest, erythritol, coconut cream,  and vanilla extract. Process until smooth.","Pour the mixture into an ice cream maker and freeze. When ready, remove and  scoop the ice cream into bowls. Serve immediately.",,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Lime_Avocado_Ice_Cream-Lime_Avocado_Ice_Cream.jpg,True,260.0,25.0,4.0,4.0
380,Coconut Cauliflower Rice With Green Onions,Vegan and Vegetarian Recipes,10.0,,,,Easy,4.0,3.0,2.0,2.0,1.0,3.0,,,,,,oz grated cauliflower florets,"green onions, slice","tbsp shredded coconut, unsweetened",tbsp avocado oil,"oz coconut milk, unsweetened",,,,,,"Take a medium skillet pan, place it over medium heat, add oil and when hot, add  grated cauliflower and cook for 3 minutes until golden brown","Add coconut, pour in milk, stir until mixed and cook for 1 to 2 minutes until hot and  creamy","Remove pan from heat, garnish cauliflower rice with green onions and then, serve.",,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Coconut_Cauliflower_Rice_With_Green_Onions-Coconut_Cauliflower_Rice_With_Green_Onions.jpg,True,107.0,1.7,2.1,1.1
381,Baked Brussels Sprouts,Vegan and Vegetarian Recipes,10.0,,20.0,,Easy,4.0,1.0,1.0,2.0,,,,,,,,"pound Brussels sprouts, trimmed and halved",tablespoon avocado oil,"garlic cloves, minced","pinch of salt and black peppers/4 cup cilantro, chopped",,,,,,,"In a roasting pan, combine the sprouts with the oil and the other ingredients, toss and  bake at 400 degrees F for 20 minutes.",Divide everything between plates and serve.,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Baked_Brussels_Sprouts-Baked_Brussels_Sprouts.jpg,True,100.0,3.0,2.0,6.0
382,Garlic Touched Beans,Vegan and Vegetarian Recipes,10.0,,,,Easy,4.0,1.0,1.0,2.0,,,,,,,,"lb green beans, trimmed",cup butter,"cloves garlic, minced 1 cup toasted pine nuts",,,,,,,,Boil a pot of water.,Boil a pot of water.,Heat the butter in a large skillet over high heat. Add the garlic and pine nuts and  sauté for 2 minutes or until the pine nuts are lightly browned.,Transfer the green beans to the skillet and turn until coated,Serve!,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Garlic_Touched_Beans-Garlic_Touched_Beans.jpg,True,215.0,9.0,7.0,4.0
383,Keto-Friendly Rosemary Flavored Green Beans,Vegan and Vegetarian Recipes,10.0,,90.0,,Easy,4.0,1.0,1.0,1.0,2.0,2.0,,,,,,pound green beans,"tablespoon rosemary, minced","teaspoon fresh thyme, minced",tablespoons lemon juice,tablespoons water,,,,,,Add all of the listed ingredients to your pot,"Cook on LOW for about 3 hours, making sure to stir it from time to time","Once done, allow it to cool and serve!",,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Keto-Friendly_Rosemary_Flavored_Green_Beans-Keto-Friendly_Rosemary_Flavored_Green_Beans.jpg,True,40.0,,9.0,2.0
384,Crazy Caramelized Onion,Vegan and Vegetarian Recipes,10.0,,600.0,,Easy,4.0,6.0,2.0,0.5,,,,,,,,"onions, sliced",tablespoons oil,teaspoon salt,,,,,,,,"Add onions, oil, and salt to your Slow Cooker.",Close lid and cook on LOW for 8 hours.,Open the lid and keep simmering for 1-2 hours until any excess water has evaporated.,Serve and enjoy!,"Tip: If you don’t have a slow cooker, you may use an Iron-Cast Dutch Oven. The  temperature is 200 Degrees F for LOW and 250 degrees F for HIGH",,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Crazy_Caramelized_Onion-Crazy_Caramelized_Onion.jpg,True,126.0,15.0,15.0,2.0
385,Broccoli Crunchies,Vegan and Vegetarian Recipes,10.0,,180.0,,Easy,4.0,2.0,2.0,2.0,0.25,0.5,,,,,,"cups broccoli florets + 1 small yellow onion, chopped",ounces cream of celery soup,"tablespoons cheddar cheese, shredded",teaspoon Worcestershire sauce,tablespoon butter,,,,,,"Add broccoli, cream, cheese, onion, cheddar to Slow Cooker",Stir and season with salt and pepper,Place lid and cook on LOW for 3 hours,Serve and enjoy!,"Tip: If you don’t have a slow cooker, you may use an Iron-Cast Dutch Oven. The  temperature is 200 Degrees F for LOW and 250 degrees F for HIGH",,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Broccoli_Crunchies-Broccoli_Crunchies.jpg,True,162.0,11.0,11.0,5.0
386,The Extremely Slow Cooked Brussels,Vegan and Vegetarian Recipes,15.0,,240.0,,Easy,4.0,1.0,1.0,1.5,0.25,0.5,,,,,,"pound Brussels sprouts, bottom trimmed and cut",tablespoon olive oil,tablespoon Dijon mustard,cup water,teaspoon dried tarragon,,,,,,"Add Brussels, salt, water, pepper, mustard to Slow Cooker",Add dried tarragon and stir,Place lid and cook on LOW for 5 hours until the Brussels are tender,Stir well and add Dijon over Brussel,Stir and enjoy!,"Tip: If you don’t have a slow cooker, you may use an Iron-Cast Dutch Oven. The  temperature is 200 Degrees F for LOW and 250 degrees F for HIGH",,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Extremely_Slow_Cooked_Brussels-The_Extremely_Slow_Cooked_Brussels.jpg,True,83.0,4.0,11.0,4.0
387,A Green Bean Mixture,Vegan and Vegetarian Recipes,10.0,,120.0,,Medium,2.0,4.0,2.0,1.0,,0.25,,,,,,"cups green beans, trimmed","tablespoons butter, melted",tablespoon date paste,Salt and pepper as needed,teaspoon coconut aminos,,,,,,"Add green beans, date paste, pepper, salt, coconut aminos, and stir",Toss and place lid,Cook on LOW for 2 hours,Serve and enjoy!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/A_Green_Bean_Mixture-A_Green_Bean_Mixture.jpg,True,236.0,6.0,10.0,6.0
388,Creamy Leeks Platter,Vegan and Vegetarian Recipes,10.0,,25.0,,Easy,6.0,1.5,2.0,1.0,3.5,,,,,,,"pound leeks, trimmed and chopped into 4-inch pieces",ounces butter,cup coconut cream,ounces cheddar cheese,Salt and pepper to taste,,,,,,Preheat your oven to 400 degrees F,"Take a skillet and place it over medium heat, add butter and let it heat up",Add leeks and Saute for 5 minutes,Spread leeks in greased baking dish,Boil cream in a saucepan and lower heat to low,"Stir in cheese, salt, and pepper",Pour sauce over leeks,Bake for 15-20 minutes and serve warm,Enjoy!,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Creamy_Leeks_Platter-Creamy_Leeks_Platter.jpg,True,204.0,15.0,9.0,7.0
389,Succulent Cheesy Cauliflowers,Vegan and Vegetarian Recipes,10.0,,25.0,,Easy,3.0,1.0,0.25,1.0,1.0,0.5,,,,,,cauliflower head,"cup butter, cut into small pieces",teaspoon Keto-Friendly Mayo,tablespoon Keto-Friendly Mustard,"cup parmesan cheese, grated",,,,,,Preheat your oven to 390 degrees F,Add mayo and mustard in a bowl,Add cauliflower to mayo mix and toss,Spread cauliflower in a baking dish and top with butter,Sprinkle cheese on top,Bake for 25 minutes,Serve and enjoy!,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Succulent_Cheesy_Cauliflowers-Succulent_Cheesy_Cauliflowers_2.jpg,True,228.0,20.0,6.0,3.0
390,Creamy Cauli Mushroom Risotto,Vegan and Vegetarian Recipes,10.0,,20.0,,Easy,4.0,1.0,1.0,9.0,2.0,1.0,,,,,,cup vegetable stock,"head of cauliflower, grated","ounces mushroom, chopped",tablespoons butter,cup coconut cream,,,,,,Take a saucepan and pour the stock into it,Bring it to boil and set it aside,Then take a skillet and melt butter over medium hea,Add mushroom to sauté until it turns into golden brown,Stir in a stock and grated cauliflower,Bring the mixture to a simmer and add cream,Cook until liquid is reduced and cauliflower is aldente,Serve warm and enjoy!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Creamy_Cauli_Mushroom_Risotto-Creamy_Cauli_Mushroom_Risotto_Sp6qrd8.jpg,True,186.0,16.5,6.7,2.8
391,Simple Green Goddess Dressing,Keto Kitchen Staples And Dips Recipes,5.0,,,,Easy,2.0,2.0,0.25,1.0,1.0,1.0,1.0,,,,,tablespoons buttermilk,cup Greek yogurt,teaspoon apple cider vinegar,"garlic clove, minced",tablespoon olive oil,tablespoon fresh parsley leaves,,,,,"Take a food processor and add butter, milk, yogurt, vinegar, apple cider, garlic, olive  oil, parsley and blend well until combined",Pour into sealed glass container and chill for 30 minutes,Use as needed!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Simple_Green_Goddess_Dressing-Simple_Green_Goddess_Dressing.jpg,True,249.0,25.0,4.0,3.0
392,Keto-Friendly Béchamel Sauce,Keto Kitchen Staples And Dips Recipes,5.0,,,,Easy,6.0,1.75,7.0,0.5,0.25,0.25,,,,,,cups heavy whip cream,ounces cream cheese,teaspoon salt,teaspoon ground black pepper,teaspoon nutmeg,,,,,,"Add listed ingredients to a non-stick saucepan and bring to a boil, making sure to  keep stirring it continuously",Lower heat to low and let it simmer for a few minutes until it reaches your desired  consistency,"Once done, season with salt and pepper and use as needed!",,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Keto-Friendly_B%C3%A9chamel_Sauce-Keto-Friendly_B%C3%A9chamel_Sauce.jpg,True,351.0,91.0,4.0,4.0
393,Avocado Mayo Medley,Keto Kitchen Staples And Dips Recipes,5.0,,,,Easy,4.0,1.0,0.5,2.0,,0.25,,,,,,"medium avocado, cut into chunks",teaspoon ground cayenne pepper,tablespoons fresh cilantro,Pinch of salt,cup olive oil,,,,,,"Take a food processor and add avocado, cayenne pepper, lime juice, salt and cilantro",Mix until smooth,"Slowly incorporate olive oil, add 1 tablespoon at a time and keep processing in  between additions",Store and use as needed!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Avocado_Mayo_Medley-Avocado_Mayo_Medley.jpg,True,231.0,20.0,5.0,3.0
394,Amazing Garlic Aioli,Keto Kitchen Staples And Dips Recipes,5.0,,,,Easy,4.0,0.5,2.0,,1.0,1.0,,,,,,cup mayonnaise,"garlic cloves, minced",Juice of 1 lemon,"tablespoon fresh-flat leaf Italian parsley, chopped","teaspoon chives, chopped",Salt and pepper to taste,,,,,"Add mayo, garlic, parsley, lemon juice, chives and season with salt and pepper",Blend until combined well,Pour into refrigerator and chill for 30 minutes,Serve and enjoy using Keto Friendly bread!,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Amazing_Garlic_Aioli-Amazing_Garlic_Aioli.jpg,True,813.0,88.0,9.0,2.0
395,Lovely Herbed Cream Cheese,Keto Kitchen Staples And Dips Recipes,15.0,,,,Easy,4.0,8.0,2.0,0.5,1.0,0.5,,,,,,ounce cream cheese,teaspoons olive oil,"cup fresh parsley, chopped",garlic clove,"lemon, zest",Salt and pepper to taste,,,,,Take a bowl and mix everything,Let it sit in fridge for 15 minutes,Serve and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Lovely_Herbed_Cream_Cheese-Lovely_Herbed_Cream_Cheese.jpg,True,229.0,85.0,5.0,4.0
396,Good Looking Butter Mayo,Keto Kitchen Staples And Dips Recipes,15.0,,2.0,,Easy,4.0,5.33,1.0,1.0,1.0,0.25,1.0,,,,,ounces butter,egg yolk,tablespoon Dijon mustard,teaspoon lemon juice,teaspoon salt,pinch ground black pepper,,,,,Take a saucepan and melt butter,Pour into a small pitcher and let it cool,Take a bowl and mix in egg yolks and mustard,Pour butter into a thin stream and keep beating using hand mixer,Leave sediment at bottom,Keep beating until mixture thickens,Add lemon juice and season with salt and pepper,Use as needed!,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Good_Looking_Butter_Mayo-Good_Looking_Butter_Mayo.jpg,True,285.0,98.0,0.3,1.0
397,Spicy Wasabi Mayonnaise,Keto Kitchen Staples And Dips Recipes,15.0,,,,Easy,4.0,1.0,0.5,,,,,,,,,cup mayonnaise,tablespoon wasabi paste,,,,,,,,,Take a bowl and mix wasabi paste and mayonnaise,Mix well,Let it chill and use as needed,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Spicy_Wasabi_Mayonnaise-Spicy_Wasabi_Mayonnaise.jpg,True,388.0,42.0,1.0,1.0
398,Amazing Cowboy Sauce,Keto Kitchen Staples And Dips Recipes,5.0,,5.0,,Easy,4.0,7.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,ounces butter,"garlic cloves, chopped","scallion, chopped","tablespoon fresh chives, chopped","tablespoon fresh horseradish, grated",teaspoon dried thyme,teaspoon paprika powder,teaspoon salt,pinch cayenne pepper,,Melt butter over medium heat in a saucepan,Add remaining ingredients,Whisk vigorously while simmer until sauce thickens,Serve and enjoy,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Amazing_Cowboy_Sauce-Amazing_Cowboy_Sauce.jpg,True,367.0,41.0,1.0,1.0
399,Strawberry And Coconut Smoothie,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,5.0,1.5,1.0,,,,,,,,frozen strawberries,cup of unsweetened coconut milk,tbsp of vanilla-flavored Greek yogurt,,,,,,,,Combine everything in a blender until smooth.,Transfer to a glass or mason jars and enjoy chilled,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Strawberry_And_Coconut_Smoothie-Strawberry_And_Coconut_Smoothie.jpg,True,128.0,18.0,10.0,3.0
400,Lovely Chai Latte,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,1.0,2.0,0.5,1.5,,,,,,,chai tea bag,cups of water,whipping cream,tsp of cinnamon powder,,,,,,,Brew the chai tea bag in hot water for 5 minutes.,Transfer into two small cups and add some whipping cream on top.,Sprinkle a bit of cinnamon powder,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Lovely_Chai_Latte-Lovely_Chai_Latte.jpg,True,135.0,1.4,1.0,1.0
401,Blueberry And Lettuce Smoothie,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,0.33,1.25,,1.5,0.5,,,,,,cup fresh blueberries,"cups romaine lettuce, chopped",drops liquid stevia,cups unsweetened almond milk,cup ice cubes,,,,,,Place all the ingredients in a high-speed blender and pulse until smooth.,Pour the smoothie into serving glasses and serve,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Blueberry_And_Lettuce_Smoothie-Blueberry_And_Lettuce_Smoothie.jpg,True,49.0,2.8,4.2,1.0
402,Aromatic Tea,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,2.0,2.0,2.0,0.25,,,,,,,tablespoons coconut milk,tablespoons coconut oil,cups strong tea,teaspoon cinnamon,,,,,,,"Distribute tea between two mugs, add remaining ingredients evenly and then stir  until blended.",Serve,,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Aromatic_Tea-Aromatic_Tea.jpg,True,151.0,0.0,0.0,1.0
403,Beautiful Coconut Tea,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,2.0,2.0,0.25,,,,,,,,"tea bags, cinnamon-flavored",tbsp MCT oil,"cup coconut milk, unsweetened2 cups boiling water",,,,,,,,"Pour boiling water between two mugs, add a tea into each mug and let them steep for  5 minutes.","Meanwhile, take a small saucepan, place it over medium heat, pour in milk, and heat  for 3 minutes or more until hot.","After 5 minutes, remove tea bags from mugs, stir in milk and MCT oil by using a milk  frother until combined, and then serve.",,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Beautiful_Coconut_Tea-Beautiful_Coconut_Tea.jpg,True,191.0,11.0,0.0,2.0
404,Fresh Hearty Strawberry Juice,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,2.0,2.0,1.0,,,,,,,,"cups fresh strawberries, hulled and sliced",cups chilled water,teaspoon fresh lime juice-2 drops liquid stevia,Pinch of salt,,,,,,,Add all the ingredients to a blender and pulse until finely pureed.,"Through a cheesecloth-lined strainer, strain the juice and transfer it into  serving glasses.",Serve immediately.,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Fresh_Hearty_Strawberry_Juice-Fresh_Hearty_Strawberry_Juice.jpg,True,31.0,0.3,5.0,1.9
405,The Berry-Licious And Hazelnut Smoothie,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,1.0,2.0,3.0,,2.0,3.0,1.0,,,,tablespoon MCT oil,cups cold water,"large blackberries, whole","packets Stevia, optional","tablespoons chocolate powder, unsweetened","tablespoons Hazelnut, chopped",tablespoon heavy cream,,,,Add all the listed ingredients to a blender.,Blend on high until smooth and creamy.,Enjoy your smoothie.,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/The_Berry-Licious_And_Hazelnut_Smoothie-The_Berry-Licious_And_Hazelnut_Smoothie.jpg,True,365.0,34.0,167.0,7.0
406,Pumpkin Pie Buttered Coffee,Drinks And Smoothies,10.0,,0.0,,Easy,1.0,12.0,2.0,1.0,0.25,,,,,,,ounces hot coffee,tablespoons canned pumpkin,"tablespoon regular butter, unsalted",teaspoon pumpkin pie spice,"Liquid stevia, to sweeten",,,,,,Add listed ingredients to a blender,Blend until you have a smooth and creamy texture,Serve chilled and enjoy!,,,,,,,,https://s3.us-west-004.backblazeb2.com/encurate/static/keto/1/Pumpkin_Pie_Buttered_Coffee-Pumpkin_Pie_Buttered_Coffee.jpg,True,120.0,12.0,2.0,1.0
